Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
ARGB to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.652654	  1.680110	  0.040000	         2
ARGB to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.667996	  1.640100	  0.040000	         6
ARGB to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.667156	  1.680110	  0.000000	         2
ARGB to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.100809	  2.120130	  0.000000	         1
ARGB to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.135497	  2.080120	  0.040010	         2
ARGB to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.130583	  2.080140	  0.000000	         3
ARGB to YUYV - FR - SSE2 - fast resampling                                      	  1.732641	  1.760110	  0.000000	         1
ARGB to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.769052	  1.760110	  0.000000	         2
ARGB to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.768693	  1.800110	  0.000000	         2
ARGB to YUYV - FR - SSE2 - avg resampling                                       	  2.083340	  2.120130	  0.000000	         1
ARGB to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.102424	  2.120140	  0.000000	         1
ARGB to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.095769	  2.080130	  0.000000	         2
ARGB to YUYV - FR - NON-SSE - fast resampling                                   	  9.782956	  9.840620	  0.000000	         2
ARGB to YUYV - bt.601 - NON-SSE - fast resampling                               	  9.786848	  9.680600	  0.000000	         3
ARGB to YUYV - bt.709 - NON-SSE - fast resampling                               	  9.758327	  9.720610	  0.040010	         3
ARGB to YUYV - FR - NON-SSE - avg resampling                                    	 11.003270	 11.000680	  0.000000	         3
ARGB to YUYV - bt.601 - NON-SSE - avg resampling                                	 10.993877	 10.960680	  0.000000	         4
ARGB to YUYV - bt.709 - NON-SSE - avg resampling                                	 10.991819	 10.880690	  0.000000	         4

ARGB to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.623132	  1.640100	  0.000000	         1
ARGB to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.675463	  1.680110	  0.000000	         1
ARGB to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.680355	  1.680110	  0.000000	         2
ARGB to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.133278	  2.120130	  0.000000	         1
ARGB to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.150599	  2.120130	  0.000000	         0
ARGB to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.154472	  2.120130	  0.040010	         2
ARGB to UYVY - FR - SSE2 - fast resampling                                      	  1.740350	  1.720110	  0.000000	         2
ARGB to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.777122	  1.720110	  0.040010	         1
ARGB to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.775602	  1.760110	  0.040000	         1
ARGB to UYVY - FR - SSE2 - avg resampling                                       	  2.106452	  2.160130	  0.000000	         2
ARGB to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.106694	  2.080130	  0.040000	         1
ARGB to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.106299	  2.000130	  0.040010	         1
ARGB to UYVY - FR - NON-SSE - fast resampling                                   	 10.117337	 10.080630	  0.000000	         5
ARGB to UYVY - bt.601 - NON-SSE - fast resampling                               	 10.124844	 10.120630	  0.000000	         3
ARGB to UYVY - bt.709 - NON-SSE - fast resampling                               	 10.132094	 10.120630	  0.000000	         4
ARGB to UYVY - FR - NON-SSE - avg resampling                                    	 11.701448	 11.640720	  0.000000	         3
ARGB to UYVY - bt.601 - NON-SSE - avg resampling                                	 11.690796	 11.680730	  0.000000	         4
ARGB to UYVY - bt.709 - NON-SSE - avg resampling                                	 11.701276	 11.680730	  0.000000	         2

ARGB to YUV422P - FR - SSE2/SSSE3 - fast resampling                             	  1.699364	  1.680110	  0.040000	         1
ARGB to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.729729	  1.760110	  0.000000	         0
ARGB to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.729374	  1.640110	  0.040000	         0
ARGB to YUV422P - FR - SSE2/SSSE3 - avg resampling                              	  2.179792	  2.200140	  0.000000	         0
ARGB to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                          	  2.247369	  2.280150	  0.000000	         1
ARGB to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                          	  2.247219	  2.200140	  0.040010	         2
ARGB to YUV422P - FR - SSE2 - fast resampling                                   	  1.829061	  1.880120	  0.000000	         0
ARGB to YUV422P - bt.601 - SSE2 - fast resampling                               	  1.815927	  1.840110	  0.000000	         1
ARGB to YUV422P - bt.709 - SSE2 - fast resampling                               	  1.827797	  1.800110	  0.000000	         0
ARGB to YUV422P - FR - SSE2 - avg resampling                                    	  2.175997	  2.200140	  0.000000	         0
ARGB to YUV422P - bt.601 - SSE2 - avg resampling                                	  2.217710	  2.240140	  0.000000	         1
ARGB to YUV422P - bt.709 - SSE2 - avg resampling                                	  2.203718	  2.240140	  0.000000	         0
ARGB to YUV422P - FR - NON-SSE - fast resampling                                	 13.925323	 13.800870	  0.080010	         3
ARGB to YUV422P - bt.601 - NON-SSE - fast resampling                            	 13.947480	 13.960870	  0.000000	         5
ARGB to YUV422P - bt.709 - NON-SSE - fast resampling                            	 13.952117	 13.840870	  0.000000	         4
ARGB to YUV422P - FR - NON-SSE - avg resampling                                 	 15.641702	 15.640980	  0.000000	         4
ARGB to YUV422P - bt.601 - NON-SSE - avg resampling                             	 15.637702	 15.600970	  0.000000	         5
ARGB to YUV422P - bt.709 - NON-SSE - avg resampling                             	 15.639653	 15.600960	  0.000000	         5

ARGB to YUV420P - FR - SSE2/SSSE3 - fast resampling                             	  1.512547	  1.520100	  0.000000	         1
ARGB to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.549569	  1.560100	  0.000000	         0
ARGB to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.555815	  1.560100	  0.000000	         0
ARGB to YUV420P - FR - SSE2 - fast resampling                                   	  1.556115	  1.560090	  0.040010	         1
ARGB to YUV420P - bt.601 - SSE2 - fast resampling                               	  1.584783	  1.560090	  0.000000	         0
ARGB to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.585521	  1.600100	  0.040000	         0
ARGB to YUV420P - FR - NON-SSE - fast resampling                                	 11.075307	 11.040700	  0.000000	         3
ARGB to YUV420P - bt.601 - NON-SSE - fast resampling                            	 11.084220	 11.080700	  0.000000	         4
ARGB to YUV420P - bt.709 - NON-SSE - fast resampling                            	 11.068494	 11.040700	  0.000000	         6

ARGB to v210 - FR - SSE2/SSSE3/SSE41 - fast resampling                          	  2.541549	  2.520160	  0.000000	         1
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.596645	  2.560160	  0.040000	         1
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.595445	  2.600160	  0.000000	         2
ARGB to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.089183	  3.080180	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.105959	  3.120190	  0.000000	         3
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.116966	  3.080190	  0.040000	         1
ARGB to v210 - FR - SSE2/SSSE3 - fast resampling                                	  2.630028	  2.600160	  0.000000	         3
ARGB to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  2.676592	  2.640170	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  2.684724	  2.680170	  0.000000	         3
ARGB to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.193781	  3.120190	  0.080010	         1
ARGB to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.296304	  3.320210	  0.000000	         2
ARGB to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.298150	  3.320200	  0.000000	         1
ARGB to v210 - FR - NON-SSE - fast resampling                                   	 10.821460	 10.840670	  0.000000	         3
ARGB to v210 - bt.601 - NON-SSE - fast resampling                               	 10.304178	 10.280640	  0.000000	         4
ARGB to v210 - bt.709 - NON-SSE - fast resampling                               	 10.314491	 10.320640	  0.000000	         6
ARGB to v210 - FR - NON-SSE - avg resampling                                    	 13.965875	 13.960870	  0.000000	         4
ARGB to v210 - bt.601 - NON-SSE - avg resampling                                	 14.054924	 14.040880	  0.000000	         6
ARGB to v210 - bt.709 - NON-SSE - avg resampling                                	 14.056135	 14.080880	  0.000000	         6

BGRA to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.638526	  1.640110	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.663892	  1.640110	  0.000000	         3
BGRA to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.654966	  1.680110	  0.000000	         1
BGRA to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.111213	  2.080130	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.136574	  2.120130	  0.000000	         1
BGRA to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.130801	  2.120130	  0.000000	         2
BGRA to YUYV - FR - SSE2 - fast resampling                                      	  1.745571	  1.720110	  0.000000	         1
BGRA to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.761170	  1.680100	  0.040000	         2
BGRA to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.756851	  1.720100	  0.040000	         1
BGRA to YUYV - FR - SSE2 - avg resampling                                       	  2.125982	  2.160130	  0.000000	         3
BGRA to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.155710	  2.120120	  0.000000	         0
BGRA to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.147800	  2.160140	  0.000000	         1
BGRA to YUYV - FR - NON-SSE - fast resampling                                   	  9.971830	  9.960620	  0.000000	         6
BGRA to YUYV - bt.601 - NON-SSE - fast resampling                               	  9.975127	 10.000620	  0.000000	         5
BGRA to YUYV - bt.709 - NON-SSE - fast resampling                               	  9.978459	  9.920630	  0.000000	         6
BGRA to YUYV - FR - NON-SSE - avg resampling                                    	 11.246188	 11.240710	  0.000000	         3
BGRA to YUYV - bt.601 - NON-SSE - avg resampling                                	 11.274064	 11.240700	  0.040000	         3
BGRA to YUYV - bt.709 - NON-SSE - avg resampling                                	 11.275615	 11.280710	  0.000000	         3

BGRA to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.626466	  1.640100	  0.000000	         1
BGRA to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.665118	  1.680110	  0.000000	         2
BGRA to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.666323	  1.680110	  0.000000	         2
BGRA to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.105841	  2.120130	  0.000000	         3
BGRA to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.145369	  2.160140	  0.000000	         0
BGRA to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.145887	  2.120140	  0.000000	         1
BGRA to UYVY - FR - SSE2 - fast resampling                                      	  1.743750	  1.720110	  0.000000	         2
BGRA to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.764700	  1.800110	  0.000000	         1
BGRA to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.766168	  1.760110	  0.000000	         1
BGRA to UYVY - FR - SSE2 - avg resampling                                       	  2.150566	  2.160140	  0.000000	         0
BGRA to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.167226	  2.200140	  0.040000	         3
BGRA to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.163915	  2.120120	  0.000000	         1
