Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
ARGB to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.834139	  0.000000	  0.000000	         0
ARGB to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.868015	  0.000000	  0.000000	         0
ARGB to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.882311	  0.000000	  0.000000	         0
ARGB to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.220137	  0.000000	  0.000000	         0
ARGB to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.326556	  0.000000	  0.000000	         0
ARGB to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.359587	  0.000000	  0.000000	         0
ARGB to YUYV - FR - SSE2 - fast resampling                                      	  1.797115	  0.000000	  0.000000	         0
ARGB to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.801832	  0.000000	  0.000000	         0
ARGB to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.807219	  0.000000	  0.000000	         0
ARGB to YUYV - FR - SSE2 - avg resampling                                       	  2.210464	  0.000000	  0.000000	         0
ARGB to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.268876	  0.000000	  0.000000	         0
ARGB to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.261807	  0.000000	  0.000000	         0
ARGB to YUYV - FR - NON-SSE - fast resampling                                   	  9.988868	  0.000000	  0.000000	         0
ARGB to YUYV - bt.601 - NON-SSE - fast resampling                               	 10.409626	  0.000000	  0.000000	         0
ARGB to YUYV - bt.709 - NON-SSE - fast resampling                               	 10.454788	  0.000000	  0.000000	         0
ARGB to YUYV - FR - NON-SSE - avg resampling                                    	 14.124855	  0.000000	  0.000000	         0
ARGB to YUYV - bt.601 - NON-SSE - avg resampling                                	 14.032060	  0.000000	  0.000000	         0
ARGB to YUYV - bt.709 - NON-SSE - avg resampling                                	 14.055524	  0.000000	  0.000000	         0

ARGB to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.848804	  0.000000	  0.000000	         0
ARGB to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.899156	  0.000000	  0.000000	         0
ARGB to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.898731	  0.000000	  0.000000	         0
ARGB to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.246107	  0.000000	  0.000000	         0
ARGB to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.353103	  0.000000	  0.000000	         0
ARGB to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.360113	  0.000000	  0.000000	         0
ARGB to UYVY - FR - SSE2 - fast resampling                                      	  1.779305	  0.000000	  0.000000	         0
ARGB to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.814058	  0.000000	  0.000000	         0
ARGB to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.814307	  0.000000	  0.000000	         0
ARGB to UYVY - FR - SSE2 - avg resampling                                       	  2.209590	  0.000000	  0.000000	         0
ARGB to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.261097	  0.000000	  0.000000	         0
ARGB to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.256661	  0.000000	  0.000000	         0
ARGB to UYVY - FR - NON-SSE - fast resampling                                   	 10.139164	  0.000000	  0.000000	         0
ARGB to UYVY - bt.601 - NON-SSE - fast resampling                               	 10.610603	  0.000000	  0.000000	         0
ARGB to UYVY - bt.709 - NON-SSE - fast resampling                               	 10.614008	  0.000000	  0.000000	         0
ARGB to UYVY - FR - NON-SSE - avg resampling                                    	 14.746159	  0.000000	  0.000000	         0
ARGB to UYVY - bt.601 - NON-SSE - avg resampling                                	 14.770860	  0.000000	  0.000000	         0
ARGB to UYVY - bt.709 - NON-SSE - avg resampling                                	 14.737042	  0.000000	  0.000000	         0

ARGB to YUV422P - FR - SSE2/SSSE3 - fast resampling                             	  1.870034	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.979075	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.966662	  0.000000	  0.000000	         0
ARGB to YUV422P - FR - SSE2/SSSE3 - avg resampling                              	  2.343532	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                          	  2.391268	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                          	  2.385157	  0.000000	  0.000000	         0
ARGB to YUV422P - FR - SSE2 - fast resampling                                   	  1.843871	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.601 - SSE2 - fast resampling                               	  1.897565	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.709 - SSE2 - fast resampling                               	  1.889874	  0.000000	  0.000000	         0
ARGB to YUV422P - FR - SSE2 - avg resampling                                    	  2.330875	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.601 - SSE2 - avg resampling                                	  2.377657	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.709 - SSE2 - avg resampling                                	  2.379719	  0.000000	  0.000000	         0
ARGB to YUV422P - FR - NON-SSE - fast resampling                                	 12.073008	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.601 - NON-SSE - fast resampling                            	 12.547329	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.709 - NON-SSE - fast resampling                            	 12.479628	  0.000000	  0.000000	         0
ARGB to YUV422P - FR - NON-SSE - avg resampling                                 	 15.673992	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.601 - NON-SSE - avg resampling                             	 15.258061	  0.000000	  0.000000	         0
ARGB to YUV422P - bt.709 - NON-SSE - avg resampling                             	 15.241275	  0.000000	  0.000000	         0

ARGB to YUV420P - FR - SSE2/SSSE3 - fast resampling                             	  1.632863	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.655372	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.662434	  0.000000	  0.000000	         0
ARGB to YUV420P - FR - SSE2 - fast resampling                                   	  1.620813	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.601 - SSE2 - fast resampling                               	  1.651101	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.659249	  0.000000	  0.000000	         0
ARGB to YUV420P - FR - NON-SSE - fast resampling                                	 11.647012	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.601 - NON-SSE - fast resampling                            	 11.374367	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.709 - NON-SSE - fast resampling                            	 11.380214	  0.000000	  0.000000	         0

ARGB to v210 - FR - SSE2/SSSE3/SSE41 - fast resampling                          	  2.658289	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.735802	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.731812	  0.000000	  0.000000	         0
ARGB to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.306257	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.355164	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.351989	  0.000000	  0.000000	         0
ARGB to v210 - FR - SSE2/SSSE3 - fast resampling                                	  2.761723	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  2.861340	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  2.867879	  0.000000	  0.000000	         0
ARGB to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.408188	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.424978	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.418823	  0.000000	  0.000000	         0
ARGB to v210 - FR - NON-SSE - fast resampling                                   	 11.454633	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - NON-SSE - fast resampling                               	 11.395037	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - NON-SSE - fast resampling                               	 11.395296	  0.000000	  0.000000	         0
ARGB to v210 - FR - NON-SSE - avg resampling                                    	 14.061686	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - NON-SSE - avg resampling                                	 14.094172	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - NON-SSE - avg resampling                                	 14.070065	  0.000000	  0.000000	         0

BGRA to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.831682	  0.000000	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.881353	  0.000000	  0.000000	         0
