Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
ARGB to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.715252	  1.760110	  0.040000	         2
ARGB to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.756474	  1.760110	  0.040000	         1
ARGB to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.740064	  1.680110	  0.040000	         1
ARGB to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.348195	  2.360140	  0.000000	         2
ARGB to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.338233	  2.240140	  0.080000	         1
ARGB to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.347205	  2.360150	  0.040000	         0
ARGB to YUYV - FR - SSE2 - fast resampling                                      	  1.833206	  1.720110	  0.080010	         1
ARGB to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.886217	  1.880110	  0.000000	         0
ARGB to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.869012	  1.880120	  0.000000	         1
ARGB to YUYV - FR - SSE2 - avg resampling                                       	  2.269228	  2.280140	  0.000000	         1
ARGB to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.277340	  2.280140	  0.000000	         1
ARGB to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.288566	  2.240140	  0.040000	         2
ARGB to YUYV - FR - NON-SSE - fast resampling                                   	 11.082686	 11.040690	  0.000000	         3
ARGB to YUYV - bt.601 - NON-SSE - fast resampling                               	 11.275568	 11.200710	  0.000000	         3
ARGB to YUYV - bt.709 - NON-SSE - fast resampling                               	 11.097191	 11.040700	  0.000000	         3
ARGB to YUYV - FR - NON-SSE - avg resampling                                    	 12.487954	 12.440780	  0.000000	         3
ARGB to YUYV - bt.601 - NON-SSE - avg resampling                                	 12.486618	 12.480780	  0.000000	         4
ARGB to YUYV - bt.709 - NON-SSE - avg resampling                                	 12.471150	 12.440780	  0.000000	         2

ARGB to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.683480	  1.640110	  0.040000	         0
ARGB to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.771957	  1.800110	  0.000000	         2
ARGB to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.749049	  1.720110	  0.040010	         2
ARGB to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.335643	  2.320150	  0.040010	         1
ARGB to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.359742	  2.360150	  0.000000	         1
ARGB to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.359494	  2.360140	  0.000000	         2
ARGB to UYVY - FR - SSE2 - fast resampling                                      	  1.842439	  1.880120	  0.000000	         2
ARGB to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.882039	  1.880110	  0.000000	         1
ARGB to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.898833	  1.920120	  0.000000	         3
ARGB to UYVY - FR - SSE2 - avg resampling                                       	  2.325507	  2.320150	  0.040000	         1
ARGB to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.287885	  2.240140	  0.040000	         2
ARGB to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.293579	  2.240150	  0.000000	         2
ARGB to UYVY - FR - NON-SSE - fast resampling                                   	 11.500531	 11.400720	  0.000000	         8
