Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
ARGB to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.848516	  1.834140	  0.023790	         0
ARGB to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.808829	  1.793290	  0.024870	         0
ARGB to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.813087	  1.796140	  0.026240	         0
ARGB to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.274451	  2.258440	  0.025330	         0
ARGB to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.326282	  2.309610	  0.025970	         1
ARGB to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.325206	  2.307950	  0.026460	         0
ARGB to YUYV - FR - SSE2 - fast resampling                                      	  1.784497	  1.770180	  0.023870	         0
ARGB to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.813630	  1.798840	  0.024250	         0
ARGB to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.810997	  1.795650	  0.024670	         0
ARGB to YUYV - FR - SSE2 - avg resampling                                       	  2.529776	  2.512160	  0.026910	         0
ARGB to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.500520	  2.483620	  0.026240	         0
ARGB to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.493560	  2.475840	  0.027050	         0
ARGB to YUYV - FR - NON-SSE - fast resampling                                   	 11.089446	 11.051220	  0.046800	         0
ARGB to YUYV - bt.601 - NON-SSE - fast resampling                               	 11.090666	 11.056680	  0.042640	         0
ARGB to YUYV - bt.709 - NON-SSE - fast resampling                               	 11.101786	 11.068640	  0.041840	         0
ARGB to YUYV - FR - NON-SSE - avg resampling                                    	 12.712363	 12.680030	  0.040940	         0
ARGB to YUYV - bt.601 - NON-SSE - avg resampling                                	 12.719515	 12.683930	  0.044220	         0
ARGB to YUYV - bt.709 - NON-SSE - avg resampling                                	 12.719790	 12.688900	  0.039500	         0

ARGB to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.766740	  1.750820	  0.025300	         0
ARGB to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.799737	  1.784650	  0.024740	         0
ARGB to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.793738	  1.778600	  0.024580	         0
ARGB to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.269610	  2.252770	  0.026260	         0
ARGB to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.309399	  2.292840	  0.026000	         0
ARGB to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.308844	  2.291400	  0.026790	         0
ARGB to UYVY - FR - SSE2 - fast resampling                                      	  1.784713	  1.769030	  0.024940	         0
ARGB to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.815083	  1.799450	  0.025080	         0
ARGB to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.823700	  1.808030	  0.025040	         0
ARGB to UYVY - FR - SSE2 - avg resampling                                       	  2.523918	  2.507120	  0.026220	         0
ARGB to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.480941	  2.463750	  0.026420	         0
ARGB to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.474031	  2.458330	  0.025190	         0
ARGB to UYVY - FR - NON-SSE - fast resampling                                   	 10.612146	 10.577400	  0.043500	         0
ARGB to UYVY - bt.601 - NON-SSE - fast resampling                               	 10.537911	 10.507170	  0.039450	         0
ARGB to UYVY - bt.709 - NON-SSE - fast resampling                               	 10.611157	 10.577710	  0.042120	         0
ARGB to UYVY - FR - NON-SSE - avg resampling                                    	 13.014981	 12.976270	  0.047190	         0
ARGB to UYVY - bt.601 - NON-SSE - avg resampling                                	 12.998085	 12.962900	  0.043690	         0
ARGB to UYVY - bt.709 - NON-SSE - avg resampling                                	 13.021327	 12.983750	  0.046270	         0

ARGB to YUV422P - FR - SSE2/SSSE3 - fast resampling                             	  1.812236	  1.797830	  0.024140	         0
ARGB to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.845538	  1.829210	  0.025710	         0
ARGB to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.843690	  1.829030	  0.024590	         0
ARGB to YUV422P - FR - SSE2/SSSE3 - avg resampling                              	  2.334284	  2.318570	  0.025310	         0
ARGB to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                          	  2.484104	  2.467420	  0.026200	         0
ARGB to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                          	  2.486922	  2.469870	  0.026550	         0
ARGB to YUV422P - FR - SSE2 - fast resampling                                   	  1.948481	  1.933820	  0.024440	         0
ARGB to YUV422P - bt.601 - SSE2 - fast resampling                               	  1.940006	  1.924240	  0.025210	         0
ARGB to YUV422P - bt.709 - SSE2 - fast resampling                               	  1.943441	  1.927490	  0.025470	         0
ARGB to YUV422P - FR - SSE2 - avg resampling                                    	  2.486625	  2.470090	  0.025890	         0
